Sample,SMILES,Protein adsorption / ng cm-2,Protein MW / kDa,Protein Charge (pI),Thickness (nm),Type,Predicted Zeta (mV),Predicted CA (deg),Ref
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,66.5,4.7,23.5,BSA,-4.5875216,13.15318186,https://pubs.acs.org/doi/full/10.1021/la404981k
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],220.6064537868745,66.5,4.7,12.7,BSA,47.89375,20.78059906,https://pubs.acs.org/doi/full/10.1021/la404981k
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],0.0,66.5,4.7,23.3,BSA,-57.269745,14.15228477,https://pubs.acs.org/doi/full/10.1021/la404981k
PHEMA,C=C(C)C(=O)OCCO,0.0,66.5,4.7,13.4,BSA,-9.486631,47.14341843,https://pubs.acs.org/doi/full/10.1021/la404981k
PBMA,C=C(C)C(=O)OCCCC,86.97616118744631,66.5,4.7,21.4,BSA,-22.589005,83.25756005,https://pubs.acs.org/doi/full/10.1021/la404981k
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,18.459141979186473,66.5,4.7,1.74,BSA,-3.0784194,11.68588726,https://pubs.acs.org/doi/full/10.1021/acsami.5b01138
PNIPAAm,C=CC(=O)NC(C)C,243.55397270910618,66.5,4.7,0.63,BSA,-6.2330294,56.36161706,https://pubs.acs.org/doi/full/10.1021/acsami.5b01138
PtBA,CC(C)(C)OC(=O)C=C,245.18029198645422,66.5,4.7,1.82,BSA,-5.7734995,80.01122505,https://pubs.acs.org/doi/full/10.1021/acsami.5b01138
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,19.345449884735782,66.5,4.7,1.7,BSA,-3.0784194,11.68388291,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PCMB,C=C(C)C(=O)OCC[N+](C)(C)CC(=O)[O-],0.6034025932127671,66.5,4.7,8.1,BSA,-8.985689,15.01823017,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PCMB,C=C(C)C(=O)OCC[N+](C)(C)CC(=O)[O-],1.8222504931284824,66.5,4.7,4.6,BSA,-11.373198,14.84950269,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,2.5145082170442437,66.5,4.7,20.0,BSA,-8.934604,51.83500685,https://pubs.acs.org/doi/10.1021/la302738s
PHEMA,C=C(C)C(=O)OCCO,3.2970827328097707,66.5,4.7,20.0,BSA,-12.175052,47.9549804,https://pubs.acs.org/doi/10.1021/la302738s
PMOEMA,C=C(C)C(=O)OCCOC,76.56641861764551,66.5,4.7,20.0,BSA,-9.032789,60.93783729,https://pubs.acs.org/doi/10.1021/la302738s
PAA,O=C(O)C=C,10.831732365303404,66.5,4.7,9.5,BSA,-4.711626,47.71226313,https://pubs.acs.org/doi/10.1021/la204542e
PAA,O=C(O)C=C,35.64370451929896,66.5,4.7,4.82,BSA,-7.177438,47.19183977,https://pubs.acs.org/doi/10.1021/la204542e
PHEMA,C=C(C)C(=O)OCCO,4.101375950843199,66.5,4.7,2.7,BSA,-12.596323,45.87173209,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEMA,C=C(C)C(=O)OCCO,0.9998220952665173,66.5,4.7,2.5,BSA,-12.596323,45.84856838,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEMA,C=C(C)C(=O)OCCO,1.0029128573818724,66.5,4.7,12.4,BSA,-10.963921,47.02209064,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEA,C=CC(=O)OCCO,19.235090810486277,66.5,4.7,1.7,BSA,-11.849382,35.15959508,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEA,C=CC(=O)OCCO,1.0005245033063248,66.5,4.7,2.3,BSA,-11.849382,35.21766941,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEA,C=CC(=O)OCCO,1.0040976072680656,66.5,4.7,10.9,BSA,-8.858882,36.0869434,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PPEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,1.0120206908688907,66.5,4.7,2.3,BSA,-18.752552,41.39838714,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PPEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0.8853530331416359,66.5,4.7,12.9,BSA,-14.275342,42.01753854,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PDEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,13.21225685992939,66.5,4.7,5.0,BSA,-17.417318,41.55060828,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.6b02708
PDEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,7.202135450575887,66.5,4.7,10.0,BSA,-17.605581,41.84254528,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.6b02708
PDEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,1.305256241983206,66.5,4.7,14.0,BSA,-17.476349,42.08495288,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.6b02708
PNMEP,C=C(C)C(=O)OCCN1CCCC1=O,6.4961376103248885,66.5,4.7,50.0,BSA,-12.517403,25.85778109,https://onlinelibrary.wiley.com/doi/full/10.1002/admi.202101717
PEMA,O=C(OCC)C(C)=C,405.23919769012093,66.5,4.7,10.3,BSA,-9.967725,74.52604702,Exp
PIPMA,O=C(OC(C)C)C(C)=C,392.7977838150696,66.5,4.7,15.2,BSA,-29.94392,82.06970218,Exp
PDEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,8.876788439505924,66.5,4.7,20.2,BSA,-18.314512,42.47498491,Exp
PMMA,O=C(OC)C(C)=C,285.0281300767725,66.5,4.7,14.0,BSA,-10.28216,65.85544594,Exp
PMOEMA,O=C(OCCOC)C(C)=C,207.18603190295377,66.5,4.7,24.6,BSA,-11.198844,61.40074408,Exp
PDMAEMA,C=C(C)C(=O)OCC[N+](C)C.[Cl-],980.6197259766549,66.5,4.7,13.8,BSA,16.319553,16.0009027,Exp
PDIPAEMA,CC(C)[N+](CCOC(=O)C(C)=C)C(C)C.[Cl-],398.86927484707815,66.5,4.7,19.5,BSA,7.166369,65.9019757,Exp
PBMA ,C=C(C)C(=O)OCCCC,303.89750577249356,14.0,11.0,11.962,Lys,-18.940662,81.8446148,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PHEMA ,C=C(C)C(=O)OCCO,30.252362912389177,14.0,11.0,16.822,Lys,-12.367573,47.56197349,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,20.98734172583495,14.0,11.0,17.9,Lys,-8.504514,51.628971,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMEA ,C=CC(=O)OCCOC,28.920471118852056,14.0,11.0,19.78895833,Lys,-2.4740336,53.04858971,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],93.30179475255632,14.0,11.0,9.2225,Lys,26.610718,44.12879224,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PCBMA ,C=C(C)C(=O)OCC[N+](C)(C)CCC(=O)[O-],13.845138356469525,14.0,11.0,19.38733333,Lys,-8.906415,19.46224107,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.7945640753531773,14.0,11.0,12.49,Lys,-1.2724454,12.31850893,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],1006.654661637789,14.0,11.0,18.93,Lys,-51.27758,13.96648194,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],72.40147554153609,14.0,11.0,7.3,Lys,29.687649,20.68649027,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],45.329409827193494,14.0,11.0,11.8,Lys,43.05105,20.76245473,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],244.40664099066706,14.0,11.0,6.2,Lys,39.607033,20.67168302,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],31.03312730078988,14.0,11.0,17.6,Lys,44.641705,20.89647337,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PHEMA,C=C(C)C(=O)OCCO,140.78456758203504,14.0,11.0,22.4,Lys,-15.430634,48.25423063,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PHEMA,C=C(C)C(=O)OCCO,57.17620604576946,14.0,11.0,40.1,Lys,-9.8282795,50.50632499,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PHEMA,C=C(C)C(=O)OCCO,61.6931389765369,14.0,11.0,90.7,Lys,-9.9939165,56.79425601,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],60.52630323188718,14.0,11.0,5.3,Lys,24.585434,44.09321156,https://www.tandfonline.com/doi/full/10.1080/09205063.2019.1710900
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],262.8378257754801,14.0,11.0,1.54,Lys,-45.23415,13.519557,10.1016/j.cjche.2021.04.016
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],328.35596873688655,14.0,11.0,3.21,Lys,-45.23415,13.54182636,10.1016/j.cjche.2021.04.016
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],266.810350569054,14.0,11.0,3.86,Lys,-45.23415,13.55169251,10.1016/j.cjche.2021.04.016
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,14.0,11.0,23.5,Lys,-4.5875216,13.15318186,https://pubs.acs.org/doi/full/10.1021/la404981k
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],35.55129620126686,14.0,11.0,12.7,Lys,47.89375,20.78059906,https://pubs.acs.org/doi/full/10.1021/la404981k
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],621.2528967983473,14.0,11.0,23.3,Lys,-57.269745,14.15228477,https://pubs.acs.org/doi/full/10.1021/la404981k
PHEMA,C=C(C)C(=O)OCCO,0.0,14.0,11.0,13.4,Lys,-9.486631,47.14341843,https://pubs.acs.org/doi/full/10.1021/la404981k
PBMA,C=C(C)C(=O)OCCCC,180.8310272511315,14.0,11.0,21.4,Lys,-22.589005,83.25756005,https://pubs.acs.org/doi/full/10.1021/la404981k
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,10.271293366983139,14.0,11.0,0.83,Lys,-3.0784194,11.64094088,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,6.9421087775687145,14.0,11.0,1.7,Lys,-3.0784194,11.68388291,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,2.7723358757150742,14.0,11.0,5.9,Lys,-2.4862142,11.9086381,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,2.895792931443659,14.0,11.0,11.8,Lys,-1.3832238,12.27237313,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,2.566838672930978,14.0,11.0,23.1,Lys,-5.6737423,13.11968992,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PSBMA,C=C(C)C(=O)OCC[N+](C)(C)CCCS(=O)(=O)[O-],46.272190796851845,14.0,11.0,4.0,Lys,-17.130354,24.67626457,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PSBMA,C=C(C)C(=O)OCCOC,58.88045578632326,14.0,11.0,3.8,Lys,-9.830339,59.26997867,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,1.6021494578821769,14.0,11.0,20.0,Lys,-8.934604,51.83500685,https://pubs.acs.org/doi/10.1021/la302738s
PHEMA,C=C(C)C(=O)OCCO,1.8008072938584407,14.0,11.0,20.0,Lys,-12.175052,47.9549804,https://pubs.acs.org/doi/10.1021/la302738s
PMOEMA,C=C(C)C(=O)OCCOC,78.68103474110663,14.0,11.0,20.0,Lys,-9.032789,60.93783729,https://pubs.acs.org/doi/10.1021/la302738s
PAA,O=C(O)C=C,34.76836113422059,14.0,11.0,9.5,Lys,-4.711626,47.71226313,https://pubs.acs.org/doi/10.1021/la204542e
PAA,O=C(O)C=C,14.120537797544062,14.0,11.0,4.82,Lys,-7.177438,47.19183977,https://pubs.acs.org/doi/10.1021/la204542e
PAA,O=C(O)C=C,27.309182738949186,14.0,11.0,1.9,Lys,-7.177438,46.872762,https://pubs.acs.org/doi/10.1021/la204542e
PDMAEMA,C=C(C)C(=O)OCC[N+](C)C.[Cl-],87.90581354468281,14.0,11.0,13.8,Lys,16.319553,16.0009027,Exp
PDEAMEA,CC[N+](CC)CCOC(=O)C(C)=C.[Cl-],157.1740454337524,14.0,11.0,16.6,Lys,8.157993,39.72595663,Exp
PDIPAEMA,CC(C)[N+](CCOC(=O)C(C)=C)C(C)C.[Cl-],209.48698761871486,14.0,11.0,19.5,Lys,7.166369,65.9019757,Exp
PHEMA ,C=C(C)C(=O)OCCO,41.76285385274119,340.0,5.8,16.822,Fib,-12.367573,47.56197349,Nagasawa
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,16.22664671334159,340.0,5.8,17.9,Fib,-8.504514,51.628971,Nagasawa
PCBMA ,C=C(C)C(=O)OCC[N+](C)(C)CCC(=O)[O-],3.991264454698986,340.0,5.8,19.38733333,Fib,-8.906415,19.46224107,Nagasawa
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,340.0,5.8,12.49,Fib,-1.2724454,12.31850893,Nagasawa
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],254.7145404409391,340.0,5.8,18.93,Fib,-51.27758,13.96648194,Nagasawa
PHEMA,C=C(C)C(=O)OCCO,562.4528816780818,340.0,5.8,22.4,Fib,-15.430634,48.25423063,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PHEMA,C=C(C)C(=O)OCCO,123.47779498153685,340.0,5.8,40.1,Fib,-9.8282795,50.50632499,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PNMEP,C=C(C)C(=O)OCCN1CCCC1=O,62.926319640613855,340.0,5.8,50.0,Fib,-12.517403,25.85778109,https://onlinelibrary.wiley.com/doi/full/10.1002/admi.202101717
